"date","state","cases","deaths","state_name"
"02/10/2020","NY",,,"New York"
"11/19/2020","KY",148390,33,"Kentucky"
"02/04/2020","MI",,,"Michigan"
"12/19/2020","CA",,272,"California"
"08/20/2020","ID",29120,9,"Idaho"
"08/10/2020","NV",,6,"Nevada"
"05/25/2020","LA",,-18,"Louisiana"
"09/09/2020","PA",141290,-10,"Pennsylvania"
"10/08/2020","NV",,15,"Nevada"
"08/29/2020","WA",,0,"Washington"
"11/23/2020","OH",363304,25,"Ohio"
"10/17/2020","ND",31978,5,"North Dakota"
"03/21/2020","SC",,,"South Carolina"
"03/21/2020","SC",,,"South Dakota"
"12/21/2020","NYC",392985,44,
"07/30/2020","MS",57579,0,"Mississippi"
"05/13/2020","NM",,12,"New Mexico"
"08/14/2020","CO",52538,6,"Colorado"
"06/17/2020","IN",,32,"Indiana"
"02/18/2020","KY",,,"Kentucky"
"07/15/2020","RMI",0,0,
"08/15/2020","IA",,7,"Iowa"
"10/02/2020","TX",,72,"Texas"
"03/01/2020","GA",2,,"Georgia"
"02/19/2020","AZ",,,"Arizona"
"02/18/2020","MN",,,"Minnesota"
"02/18/2020","MN",,,"Montana"
"11/01/2020","GA",390428,2,"Georgia"
"10/11/2020","KY",80292,3,"Kentucky"
"08/08/2020","PR",22121,7,"Puerto Rico"
"08/12/2020","PA",121130,11,"Pennsylvania"
"08/09/2020","MN",,3,"Minnesota"
"08/09/2020","MN",,3,"Montana"
"06/18/2020","MD",,13,"Maryland"
"10/07/2020","NJ",,6,"New Jersey"
"07/03/2020","OH",55257,18,"Ohio"
"04/13/2020","AS",,,
"10/15/2020","NY",,9,"New York"
"05/19/2020","NE",,7,"Nebraska"
"06/04/2020","CO",27360,23,"Colorado"
"07/12/2020","IA",,2,"Iowa"
"06/20/2020","MN",,6,"Minnesota"
"06/20/2020","MN",,6,"Montana"
"04/03/2020","VA",,,"Virginia"
"05/29/2020","CO",25613,16,"Colorado"
"10/17/2020","AS",,0,
"11/29/2020","WA",,1,"Washington"
"06/16/2020","ID",3540,0,"Idaho"
"09/07/2020","RMI",0,0,
"02/12/2020","IN",,,"Indiana"
"09/24/2020","AL",148206,-30,"Alabama"
"11/19/2020","GA",437156,41,"Georgia"
"12/21/2020","PA",563589,100,"Pennsylvania"
"11/22/2020","IL",656298,122,"Illinois"
"07/11/2020","AL",51947,14,"Alabama"
"04/17/2020","IN",,,"Indiana"
"11/24/2020","NJ",,47,"New Jersey"
"09/04/2020","PR",34492,11,"Puerto Rico"
"09/17/2020","NJ",,3,"New Jersey"
"04/27/2020","AL",6539,7,"Alabama"
"11/15/2020","IA",,12,"Iowa"
"02/02/2020","NYC",,,
"11/07/2020","IL",477978,107,"Illinois"
"04/03/2020","NY",,,"New York"
"08/19/2020","OK",54132,17,"Oklahoma"
"10/28/2020","LA",,26,"Louisiana"
"08/18/2020","NV",,25,"Nevada"
"04/23/2020","AL",6071,11,"Alabama"
"07/16/2020","AL",61143,20,"Alabama"
"11/01/2020","FL",,28,"Florida"
"04/12/2020","IL",,,"Illinois"
"07/08/2020","MA",110602,30,"Massachusetts"
"05/30/2020","CO",26098,5,"Colorado"
"05/05/2020","ND",1266,0,"North Dakota"
"09/12/2020","TX",,146,"Texas"
"12/14/2020","NM",,22,"New Mexico"
"09/09/2020","MI",119863,139,"Michigan"
"08/16/2020","OK",51387,0,"Oklahoma"
"10/25/2020","MS",115763,7,"Mississippi"
"09/18/2020","MD",,6,"Maryland"
"05/27/2020","NY",,50,"New York"
"04/09/2020","LA",,,"Louisiana"
"06/25/2020","NJ",,3731,"New Jersey"
"11/10/2020","ID",75428,18,"Idaho"
"04/03/2020","IN",,,"Indiana"
"07/31/2020","WA",,0,"Washington"
"02/16/2020","IA",,,"Iowa"
"05/30/2020","WI",18230,20,"Wisconsin"
"06/26/2020","RMI",0,0,
"11/19/2020","NYC",292718,30,
"12/29/2020","AZ",507222,198,"Arizona"
"05/18/2020","TX",,11,"Texas"
"03/19/2020","AZ",,,"Arizona"
"02/03/2020","NV",,,"Nevada"
"05/21/2020","MN",,65,"Minnesota"
"05/21/2020","MN",,65,"Montana"
"11/03/2020","AL",195929,13,"Alabama"
"12/26/2020","WY",43146,0,"Wyoming"
"11/16/2020","VA",206763,36,"Virginia"
"06/27/2020","WI",30227,11,"Wisconsin"
"08/05/2020","AS",,0,
"02/27/2020","AR",,,"Arkansas"
"03/26/2020","RMI",,,
"10/20/2020","NY",,9,"New York"
"03/18/2020","CO",,,"Colorado"
"04/05/2020","MA",,,"Massachusetts"
"09/19/2020","VA",140512,26,"Virginia"
"02/13/2020","AS",,,
"02/11/2020","SC",,,"South Carolina"
"02/11/2020","SC",,,"South Dakota"
"05/08/2020","AZ",10526,67,"Arizona"
"02/17/2020","AR",,,"Arkansas"
"04/30/2020","OH",18027,34,"Ohio"
"06/10/2020","IN",,17,"Indiana"
"03/16/2020","TN",,,"Tennessee"
"10/06/2020","WA",,7,"Washington"
"03/23/2020","AS",,,
"09/23/2020","TX",,135,"Texas"
"04/25/2020","TX",,30,"Texas"
"12/14/2020","NV",,9,"Nevada"
"01/27/2020","MS",,,"Mississippi"
"05/18/2020","IL",96485,57,"Illinois"
"05/28/2020","NY",,46,"New York"
"11/24/2020","ID",94730,8,"Idaho"
"03/26/2020","WV",,,"West Virginia"
"04/01/2020","NY",,,"New York"
"05/13/2020","WY",688,0,"Wyoming"
"03/20/2020","OK",,,"Oklahoma"
"04/23/2020","NY",,147,"New York"
"03/18/2020","WY",,,"Wyoming"
"02/13/2020","SC",,,"South Carolina"
"02/13/2020","SC",,,"South Dakota"
"05/08/2020","ID",2205,-18,"Idaho"
"04/21/2020","CT",20360,116,"Connecticut"
"11/25/2020","SC",210905,3,"South Carolina"
"11/25/2020","SC",210905,3,"South Dakota"
"09/20/2020","TX",,45,"Texas"
"01/24/2020","PA",,,"Pennsylvania"
"07/07/2020","AS",,0,
"02/04/2020","PA",,,"Pennsylvania"
"06/26/2020","LA",,26,"Louisiana"
"12/01/2020","PR",53708,23,"Puerto Rico"
"03/09/2020","FL",,,"Florida"
"01/26/2020","SC",,,"South Carolina"
"01/26/2020","SC",,,"South Dakota"
