"Cat","year","geography","FIPS_code","geo_type","geo_full_name","geo_abbreviation","cat","age","eligible90"
"CN","2013","Pennsylvania",42,"state","Pennsylvania","PA","CN","6--9","238535"
"CN","2013","Pennsylvania",42,"state","Pennsylvania","PA","CN","10--14","255881"
"CN","2013","Pennsylvania",42,"state","Pennsylvania","PA","CN","15--18","184449"
"CN","2013","Pennsylvania",42,"state","Pennsylvania","PA","CN","19--20","70491"
"MN","2013","Pennsylvania",42,"state","Pennsylvania","PA","MN","< 1","26"
"MN","2013","Pennsylvania",42,"state","Pennsylvania","PA","MN","1--2","123"
"MN","2013","Pennsylvania",42,"state","Pennsylvania","PA","MN","3--5","170"
"MN","2013","Pennsylvania",42,"state","Pennsylvania","PA","MN","6--9","612"
"MN","2013","Pennsylvania",42,"state","Pennsylvania","PA","MN","10--14","1034"
"MN","2013","Pennsylvania",42,"state","Pennsylvania","PA","MN","15--18","2150"
"MN","2013","Pennsylvania",42,"state","Pennsylvania","PA","MN","19--20","27277"
"Total","2013","Pennsylvania",42,"state","Pennsylvania","PA","Total","< 1","52730"
"Total","2013","Pennsylvania",42,"state","Pennsylvania","PA","Total","1--2","141127"
"Total","2013","Pennsylvania",42,"state","Pennsylvania","PA","Total","3--5","200963"
"Total","2013","Pennsylvania",42,"state","Pennsylvania","PA","Total","6--9","239147"
"Total","2013","Pennsylvania",42,"state","Pennsylvania","PA","Total","10--14","256915"
"Total","2013","Pennsylvania",42,"state","Pennsylvania","PA","Total","15--18","186599"
"Total","2013","Pennsylvania",42,"state","Pennsylvania","PA","Total","19--20","97768"
"CN","2013","Oregon",41,"state","Oregon","OR","CN","< 1","18423"
"CN","2013","Oregon",41,"state","Oregon","OR","CN","1--2","48142"
"CN","2013","Oregon",41,"state","Oregon","OR","CN","3--5","68682"
"CN","2013","Oregon",41,"state","Oregon","OR","CN","6--9","76113"
"CN","2013","Oregon",41,"state","Oregon","OR","CN","10--14","76881"
"CN","2013","Oregon",41,"state","Oregon","OR","CN","15--18","54895"
"CN","2013","Oregon",41,"state","Oregon","OR","CN","19--20","17549"
"MN","2013","Oregon",41,"state","Oregon","OR","MN","< 1","0"
"MN","2013","Oregon",41,"state","Oregon","OR","MN","1--2","0"
"MN","2013","Oregon",41,"state","Oregon","OR","MN","3--5","0"
"MN","2013","Oregon",41,"state","Oregon","OR","MN","6--9","0"
"MN","2013","Oregon",41,"state","Oregon","OR","MN","10--14","0"
"MN","2013","Oregon",41,"state","Oregon","OR","MN","15--18","0"
"MN","2013","Oregon",41,"state","Oregon","OR","MN","19--20","0"
"Total","2013","Oregon",41,"state","Oregon","OR","Total","< 1","18423"
"Total","2013","Oregon",41,"state","Oregon","OR","Total","1--2","48142"
"Total","2013","Oregon",41,"state","Oregon","OR","Total","3--5","68682"
"Total","2013","Oregon",41,"state","Oregon","OR","Total","6--9","76113"
"Total","2013","Oregon",41,"state","Oregon","OR","Total","10--14","76881"
"Total","2013","Oregon",41,"state","Oregon","OR","Total","15--18","54895"
"Total","2013","Oregon",41,"state","Oregon","OR","Total","19--20","17549"
"CN","2013","Oklahoma",40,"state","Oklahoma","OK","CN","< 1","27798"
"CN","2013","Oklahoma",40,"state","Oklahoma","OK","CN","1--2","72394"
"CN","2013","Oklahoma",40,"state","Oklahoma","OK","CN","3--5","102172"
"CN","2013","Oklahoma",40,"state","Oklahoma","OK","CN","6--9","124944"
"CN","2013","Oklahoma",40,"state","Oklahoma","OK","CN","10--14","130575"
"CN","2013","Oklahoma",40,"state","Oklahoma","OK","CN","15--18","85802"
"CN","2013","Oklahoma",40,"state","Oklahoma","OK","CN","19--20","23006"
"MN","2013","Oklahoma",40,"state","Oklahoma","OK","MN","< 1","0"
"MN","2013","Oklahoma",40,"state","Oklahoma","OK","MN","1--2","0"
"MN","2013","Oklahoma",40,"state","Oklahoma","OK","MN","3--5","0"
"MN","2013","Oklahoma",40,"state","Oklahoma","OK","MN","6--9","0"
"MN","2013","Oklahoma",40,"state","Oklahoma","OK","MN","10--14","0"
"MN","2013","Oklahoma",40,"state","Oklahoma","OK","MN","15--18","0"
"MN","2013","Oklahoma",40,"state","Oklahoma","OK","MN","19--20","0"
"Total","2013","Oklahoma",40,"state","Oklahoma","OK","Total","< 1","27798"
"Total","2013","Oklahoma",40,"state","Oklahoma","OK","Total","1--2","72394"
"Total","2013","Oklahoma",40,"state","Oklahoma","OK","Total","3--5","102172"
"Total","2013","Oklahoma",40,"state","Oklahoma","OK","Total","6--9","124944"
"Total","2013","Oklahoma",40,"state","Oklahoma","OK","Total","10--14","130575"
"Total","2013","Oklahoma",40,"state","Oklahoma","OK","Total","15--18","85802"
"Total","2013","Oklahoma",40,"state","Oklahoma","OK","Total","19--20","23006"
"CN","2013","Ohio",39,"state","Ohio","OH","CN","< 1","58291"
"CN","2013","Ohio",39,"state","Ohio","OH","CN","1--2","154019"
"CN","2013","Ohio",39,"state","Ohio","OH","CN","3--5","227818"
"CN","2013","Ohio",39,"state","Ohio","OH","CN","6--9","281656"
"CN","2013","Ohio",39,"state","Ohio","OH","CN","10--14","310451"
"CN","2013","Ohio",39,"state","Ohio","OH","CN","15--18","219155"
"CN","2013","Ohio",39,"state","Ohio","OH","CN","19--20","81986"
"MN","2013","Ohio",39,"state","Ohio","OH","MN","< 1","0"
"MN","2013","Ohio",39,"state","Ohio","OH","MN","1--2","0"
"MN","2013","Ohio",39,"state","Ohio","OH","MN","3--5","0"
"MN","2013","Ohio",39,"state","Ohio","OH","MN","6--9","0"
"MN","2013","Ohio",39,"state","Ohio","OH","MN","10--14","0"
"MN","2013","Ohio",39,"state","Ohio","OH","MN","15--18","0"
"MN","2013","Ohio",39,"state","Ohio","OH","MN","19--20","0"
"Total","2013","Ohio",39,"state","Ohio","OH","Total","< 1","58291"
"Total","2013","Ohio",39,"state","Ohio","OH","Total","1--2","154019"
"Total","2013","Ohio",39,"state","Ohio","OH","Total","3--5","227818"
"Total","2013","Ohio",39,"state","Ohio","OH","Total","6--9","281656"
"Total","2013","Ohio",39,"state","Ohio","OH","Total","10--14","310451"
"Total","2013","Ohio",39,"state","Ohio","OH","Total","15--18","219155"
"Total","2013","Ohio",39,"state","Ohio","OH","Total","19--20","81986"
"CN","2013","North Dakota",38,"state","North Dakota","ND","CN","< 1","3045"
"CN","2013","North Dakota",38,"state","North Dakota","ND","CN","1--2","7124"
"CN","2013","North Dakota",38,"state","North Dakota","ND","CN","3--5","9390"
"CN","2013","North Dakota",38,"state","North Dakota","ND","CN","6--9","9992"
"CN","2013","North Dakota",38,"state","North Dakota","ND","CN","10--14","8782"
"CN","2013","North Dakota",38,"state","North Dakota","ND","CN","15--18","5738"
"CN","2013","North Dakota",38,"state","North Dakota","ND","CN","19--20","2051"
"MN","2013","North Dakota",38,"state","North Dakota","ND","MN","< 1","7"
"MN","2013","North Dakota",38,"state","North Dakota","ND","MN","1--2","6"
"MN","2013","North Dakota",38,"state","North Dakota","ND","MN","3--5","26"
"MN","2013","North Dakota",38,"state","North Dakota","ND","MN","6--9","82"
"MN","2013","North Dakota",38,"state","North Dakota","ND","MN","10--14","115"
"MN","2013","North Dakota",38,"state","North Dakota","ND","MN","15--18","133"
"MN","2013","North Dakota",38,"state","North Dakota","ND","MN","19--20","557"
"Total","2013","North Dakota",38,"state","North Dakota","ND","Total","< 1","3052"
"Total","2013","North Dakota",38,"state","North Dakota","ND","Total","1--2","7130"
"Total","2013","North Dakota",38,"state","North Dakota","ND","Total","3--5","9416"
"Total","2013","North Dakota",38,"state","North Dakota","ND","Total","6--9","10074"
"Total","2013","North Dakota",38,"state","North Dakota","ND","Total","10--14","8897"
"Total","2013","North Dakota",38,"state","North Dakota","ND","Total","15--18","5871"
"Total","2013","North Dakota",38,"state","North Dakota","ND","Total","19--20","2608"
"CN","2013","North Carolina",37,"state","North Carolina","NC","CN","< 1","59349"
"CN","2013","North Carolina",37,"state","North Carolina","NC","CN","1--2","147027"
"CN","2013","North Carolina",37,"state","North Carolina","NC","CN","3--5","223803"
"CN","2013","North Carolina",37,"state","North Carolina","NC","CN","6--9","236108"
"CN","2013","North Carolina",37,"state","North Carolina","NC","CN","10--14","236077"
"CN","2013","North Carolina",37,"state","North Carolina","NC","CN","15--18","157122"
"CN","2013","North Carolina",37,"state","North Carolina","NC","CN","19--20","52963"
"MN","2013","North Carolina",37,"state","North Carolina","NC","MN","< 1","11"
"MN","2013","North Carolina",37,"state","North Carolina","NC","MN","1--2","35"
"MN","2013","North Carolina",37,"state","North Carolina","NC","MN","3--5","80"
"MN","2013","North Carolina",37,"state","North Carolina","NC","MN","6--9","156"
"MN","2013","North Carolina",37,"state","North Carolina","NC","MN","10--14","261"
"MN","2013","North Carolina",37,"state","North Carolina","NC","MN","15--18","263"
"MN","2013","North Carolina",37,"state","North Carolina","NC","MN","19--20","809"
"Total","2013","North Carolina",37,"state","North Carolina","NC","Total","< 1","59360"
"Total","2013","North Carolina",37,"state","North Carolina","NC","Total","1--2","147062"
"Total","2013","North Carolina",37,"state","North Carolina","NC","Total","3--5","223883"
"Total","2013","North Carolina",37,"state","North Carolina","NC","Total","6--9","236264"
"Total","2013","North Carolina",37,"state","North Carolina","NC","Total","10--14","236338"
"Total","2013","North Carolina",37,"state","North Carolina","NC","Total","15--18","157385"
"Total","2013","North Carolina",37,"state","North Carolina","NC","Total","19--20","53772"
"CN","2013","New York",36,"state","New York","NY","CN","< 1","19144"
"CN","2013","New York",36,"state","New York","NY","CN","1--2","95072"
"CN","2013","New York",36,"state","New York","NY","CN","3--5","177688"
"CN","2013","New York",36,"state","New York","NY","CN","6--9","125782"
"CN","2013","New York",36,"state","New York","NY","CN","10--14","122074"
"CN","2013","New York",36,"state","New York","NY","CN","15--18","91117"
"CN","2013","New York",36,"state","New York","NY","CN","19--20","31427"
"MN","2013","New York",36,"state","New York","NY","MN","< 1","114272"
"MN","2013","New York",36,"state","New York","NY","MN","1--2","183480"
"MN","2013","New York",36,"state","New York","NY","MN","3--5","194376"
"MN","2013","New York",36,"state","New York","NY","MN","6--9","317763"
"MN","2013","New York",36,"state","New York","NY","MN","10--14","357938"
"MN","2013","New York",36,"state","New York","NY","MN","15--18","271954"
"MN","2013","New York",36,"state","New York","NY","MN","19--20","161721"
"Total","2013","New York",36,"state","New York","NY","Total","< 1","133416"
"Total","2013","New York",36,"state","New York","NY","Total","1--2","278552"
"Total","2013","New York",36,"state","New York","NY","Total","3--5","372064"
"Total","2013","New York",36,"state","New York","NY","Total","6--9","443545"
"Total","2013","New York",36,"state","New York","NY","Total","10--14","480012"
"Total","2013","New York",36,"state","New York","NY","Total","15--18","363071"
"Total","2013","New York",36,"state","New York","NY","Total","19--20","193148"
"CN","2013","New Mexico",35,"state","New Mexico","NM","CN","< 1","16099"
"CN","2013","New Mexico",35,"state","New Mexico","NM","CN","1--2","40051"
"CN","2013","New Mexico",35,"state","New Mexico","NM","CN","3--5","63147"
"CN","2013","New Mexico",35,"state","New Mexico","NM","CN","6--9","81077"
"CN","2013","New Mexico",35,"state","New Mexico","NM","CN","10--14","88050"
"CN","2013","New Mexico",35,"state","New Mexico","NM","CN","15--18","60137"
"CN","2013","New Mexico",35,"state","New Mexico","NM","CN","19--20","13767"
"MN","2013","New Mexico",35,"state","New Mexico","NM","MN","< 1","0"
"MN","2013","New Mexico",35,"state","New Mexico","NM","MN","1--2","0"
"MN","2013","New Mexico",35,"state","New Mexico","NM","MN","3--5","0"
"MN","2013","New Mexico",35,"state","New Mexico","NM","MN","6--9","0"
"MN","2013","New Mexico",35,"state","New Mexico","NM","MN","10--14","0"
"MN","2013","New Mexico",35,"state","New Mexico","NM","MN","15--18","0"
"MN","2013","New Mexico",35,"state","New Mexico","NM","MN","19--20","0"
"Total","2013","New Mexico",35,"state","New Mexico","NM","Total","< 1","16099"
"Total","2013","New Mexico",35,"state","New Mexico","NM","Total","1--2","40051"
"Total","2013","New Mexico",35,"state","New Mexico","NM","Total","3--5","63147"
"Total","2013","New Mexico",35,"state","New Mexico","NM","Total","6--9","81077"
"Total","2013","New Mexico",35,"state","New Mexico","NM","Total","10--14","88050"
"Total","2013","New Mexico",35,"state","New Mexico","NM","Total","15--18","60137"
"Total","2013","New Mexico",35,"state","New Mexico","NM","Total","19--20","13767"
"CN","2013","New Jersey",34,"state","New Jersey","NJ","CN","< 1","30591"
"CN","2013","New Jersey",34,"state","New Jersey","NJ","CN","1--2","90736"
"CN","2013","New Jersey",34,"state","New Jersey","NJ","CN","3--5","132622"
"CN","2013","New Jersey",34,"state","New Jersey","NJ","CN","6--9","160455"
"CN","2013","New Jersey",34,"state","New Jersey","NJ","CN","10--14","166958"
"CN","2013","New Jersey",34,"state","New Jersey","NJ","CN","15--18","113742"
"CN","2013","New Jersey",34,"state","New Jersey","NJ","CN","19--20","37197"
"MN","2013","New Jersey",34,"state","New Jersey","NJ","MN","< 1","0"
"MN","2013","New Jersey",34,"state","New Jersey","NJ","MN","1--2","0"
"MN","2013","New Jersey",34,"state","New Jersey","NJ","MN","3--5","0"
"MN","2013","New Jersey",34,"state","New Jersey","NJ","MN","6--9","0"
"MN","2013","New Jersey",34,"state","New Jersey","NJ","MN","10--14","0"
"MN","2013","New Jersey",34,"state","New Jersey","NJ","MN","15--18","0"
"MN","2013","New Jersey",34,"state","New Jersey","NJ","MN","19--20","0"
"Total","2013","New Jersey",34,"state","New Jersey","NJ","Total","< 1","30591"
"Total","2013","New Jersey",34,"state","New Jersey","NJ","Total","1--2","90736"
"Total","2013","New Jersey",34,"state","New Jersey","NJ","Total","3--5","132622"
"Total","2013","New Jersey",34,"state","New Jersey","NJ","Total","6--9","160455"
"Total","2013","New Jersey",34,"state","New Jersey","NJ","Total","10--14","166958"
"Total","2013","New Jersey",34,"state","New Jersey","NJ","Total","15--18","113742"
"Total","2013","New Jersey",34,"state","New Jersey","NJ","Total","19--20","37197"
"CN","2013","New Hampshire",33,"state","New Hampshire","NH","CN","< 1","3886"
"CN","2013","New Hampshire",33,"state","New Hampshire","NH","CN","1--2","11484"
"CN","2013","New Hampshire",33,"state","New Hampshire","NH","CN","3--5","17001"
"CN","2013","New Hampshire",33,"state","New Hampshire","NH","CN","6--9","21863"
"CN","2013","New Hampshire",33,"state","New Hampshire","NH","CN","10--14","25088"
"CN","2013","New Hampshire",33,"state","New Hampshire","NH","CN","15--18","18442"
"CN","2013","New Hampshire",33,"state","New Hampshire","NH","CN","19--20","4388"
"MN","2013","New Hampshire",33,"state","New Hampshire","NH","MN","< 1","34"
"MN","2013","New Hampshire",33,"state","New Hampshire","NH","MN","1--2","122"
"MN","2013","New Hampshire",33,"state","New Hampshire","NH","MN","3--5","223"
"MN","2013","New Hampshire",33,"state","New Hampshire","NH","MN","6--9","328"
"MN","2013","New Hampshire",33,"state","New Hampshire","NH","MN","10--14","393"
"MN","2013","New Hampshire",33,"state","New Hampshire","NH","MN","15--18","285"
"MN","2013","New Hampshire",33,"state","New Hampshire","NH","MN","19--20","116"
"Total","2013","New Hampshire",33,"state","New Hampshire","NH","Total","< 1","3920"
"Total","2013","New Hampshire",33,"state","New Hampshire","NH","Total","1--2","11606"
"Total","2013","New Hampshire",33,"state","New Hampshire","NH","Total","3--5","17224"
"Total","2013","New Hampshire",33,"state","New Hampshire","NH","Total","6--9","22191"
"Total","2013","New Hampshire",33,"state","New Hampshire","NH","Total","10--14","25481"
"Total","2013","New Hampshire",33,"state","New Hampshire","NH","Total","15--18","18727"
"Total","2013","New Hampshire",33,"state","New Hampshire","NH","Total","19--20","4504"
"CN","2013","Nevada",32,"state","Nevada","NV","CN","< 1","15009"
"CN","2013","Nevada",32,"state","Nevada","NV","CN","1--2","34341"
"CN","2013","Nevada",32,"state","Nevada","NV","CN","3--5","47215"
"CN","2013","Nevada",32,"state","Nevada","NV","CN","6--9","53503"
"CN","2013","Nevada",32,"state","Nevada","NV","CN","10--14","51327"
"CN","2013","Nevada",32,"state","Nevada","NV","CN","15--18","32616"
"CN","2013","Nevada",32,"state","Nevada","NV","CN","19--20","9320"
"MN","2013","Nevada",32,"state","Nevada","NV","MN","< 1","0"
"MN","2013","Nevada",32,"state","Nevada","NV","MN","1--2","0"
"MN","2013","Nevada",32,"state","Nevada","NV","MN","3--5","0"
"MN","2013","Nevada",32,"state","Nevada","NV","MN","6--9","0"
"MN","2013","Nevada",32,"state","Nevada","NV","MN","10--14","0"
"MN","2013","Nevada",32,"state","Nevada","NV","MN","15--18","0"
"MN","2013","Nevada",32,"state","Nevada","NV","MN","19--20","0"
"Total","2013","Nevada",32,"state","Nevada","NV","Total","< 1","15009"
"Total","2013","Nevada",32,"state","Nevada","NV","Total","1--2","34341"
"Total","2013","Nevada",32,"state","Nevada","NV","Total","3--5","47215"
"Total","2013","Nevada",32,"state","Nevada","NV","Total","6--9","53503"
"Total","2013","Nevada",32,"state","Nevada","NV","Total","10--14","51327"
"Total","2013","Nevada",32,"state","Nevada","NV","Total","15--18","32616"
"Total","2013","Nevada",32,"state","Nevada","NV","Total","19--20","9320"
"CN","2013","Nebraska",31,"state","Nebraska","NE","CN","< 1","10211"
"CN","2013","Nebraska",31,"state","Nebraska","NE","CN","1--2","24225"
"CN","2013","Nebraska",31,"state","Nebraska","NE","CN","3--5","35197"
"CN","2013","Nebraska",31,"state","Nebraska","NE","CN","6--9","41943"
"CN","2013","Nebraska",31,"state","Nebraska","NE","CN","10--14","40725"
"CN","2013","Nebraska",31,"state","Nebraska","NE","CN","15--18","26273"
"CN","2013","Nebraska",31,"state","Nebraska","NE","CN","19--20","6651"
"MN","2013","Nebraska",31,"state","Nebraska","NE","MN","< 1","4"
"MN","2013","Nebraska",31,"state","Nebraska","NE","MN","1--2","4"
"MN","2013","Nebraska",31,"state","Nebraska","NE","MN","3--5","11"
"MN","2013","Nebraska",31,"state","Nebraska","NE","MN","6--9","12"
"MN","2013","Nebraska",31,"state","Nebraska","NE","MN","10--14","25"
"MN","2013","Nebraska",31,"state","Nebraska","NE","MN","15--18","122"
"MN","2013","Nebraska",31,"state","Nebraska","NE","MN","19--20","964"
"Total","2013","Nebraska",31,"state","Nebraska","NE","Total","< 1","10215"
"Total","2013","Nebraska",31,"state","Nebraska","NE","Total","1--2","24229"
"Total","2013","Nebraska",31,"state","Nebraska","NE","Total","3--5","35208"
"Total","2013","Nebraska",31,"state","Nebraska","NE","Total","6--9","41955"
"Total","2013","Nebraska",31,"state","Nebraska","NE","Total","10--14","40750"
"Total","2013","Nebraska",31,"state","Nebraska","NE","Total","15--18","26395"
"Total","2013","Nebraska",31,"state","Nebraska","NE","Total","19--20","7615"
"CN","2013","Montana",30,"state","Montana","MT","CN","< 1","4723"
"CN","2013","Montana",30,"state","Montana","MT","CN","1--2","11423"
"CN","2013","Montana",30,"state","Montana","MT","CN","3--5","16268"
"CN","2013","Montana",30,"state","Montana","MT","CN","6--9","19859"
"CN","2013","Montana",30,"state","Montana","MT","CN","10--14","19848"
"CN","2013","Montana",30,"state","Montana","MT","CN","15--18","12932"
"CN","2013","Montana",30,"state","Montana","MT","CN","19--20","3440"
"MN","2013","Montana",30,"state","Montana","MT","MN","< 1","5"
"MN","2013","Montana",30,"state","Montana","MT","MN","1--2","6"
"MN","2013","Montana",30,"state","Montana","MT","MN","3--5","6"
"MN","2013","Montana",30,"state","Montana","MT","MN","6--9","18"
"MN","2013","Montana",30,"state","Montana","MT","MN","10--14","25"
"MN","2013","Montana",30,"state","Montana","MT","MN","15--18","42"
"MN","2013","Montana",30,"state","Montana","MT","MN","19--20","7"
"Total","2013","Montana",30,"state","Montana","MT","Total","< 1","4728"
"Total","2013","Montana",30,"state","Montana","MT","Total","1--2","11429"
"Total","2013","Montana",30,"state","Montana","MT","Total","3--5","16274"
"Total","2013","Montana",30,"state","Montana","MT","Total","6--9","19877"
"Total","2013","Montana",30,"state","Montana","MT","Total","10--14","19873"
"Total","2013","Montana",30,"state","Montana","MT","Total","15--18","12974"
"Total","2013","Montana",30,"state","Montana","MT","Total","19--20","3447"
"CN","2013","Missouri",29,"state","Missouri","MO","CN","< 1","30073"
"CN","2013","Missouri",29,"state","Missouri","MO","CN","1--2","79343"
"CN","2013","Missouri",29,"state","Missouri","MO","CN","3--5","112913"
"CN","2013","Missouri",29,"state","Missouri","MO","CN","6--9","138930"
"CN","2013","Missouri",29,"state","Missouri","MO","CN","10--14","145403"
"CN","2013","Missouri",29,"state","Missouri","MO","CN","15--18","99726"
"CN","2013","Missouri",29,"state","Missouri","MO","CN","19--20","26765"
"MN","2013","Missouri",29,"state","Missouri","MO","MN","< 1","0"
"MN","2013","Missouri",29,"state","Missouri","MO","MN","1--2","0"
"MN","2013","Missouri",29,"state","Missouri","MO","MN","3--5","0"
"MN","2013","Missouri",29,"state","Missouri","MO","MN","6--9","0"
"MN","2013","Missouri",29,"state","Missouri","MO","MN","10--14","0"
"MN","2013","Missouri",29,"state","Missouri","MO","MN","15--18","0"
"MN","2013","Missouri",29,"state","Missouri","MO","MN","19--20","0"
"Total","2013","Missouri",29,"state","Missouri","MO","Total","< 1","30073"
"Total","2013","Missouri",29,"state","Missouri","MO","Total","1--2","79343"
"Total","2013","Missouri",29,"state","Missouri","MO","Total","3--5","112913"
"Total","2013","Missouri",29,"state","Missouri","MO","Total","6--9","138930"
"Total","2013","Missouri",29,"state","Missouri","MO","Total","10--14","145403"
"Total","2013","Missouri",29,"state","Missouri","MO","Total","15--18","99726"
"Total","2013","Missouri",29,"state","Missouri","MO","Total","19--20","26765"
"CN","2013","Mississippi",28,"state","Mississippi","MS","CN","< 1","22829"
"CN","2013","Mississippi",28,"state","Mississippi","MS","CN","1--2","52564"
"CN","2013","Mississippi",28,"state","Mississippi","MS","CN","3--5","77450"
"CN","2013","Mississippi",28,"state","Mississippi","MS","CN","6--9","89415"
"CN","2013","Mississippi",28,"state","Mississippi","MS","CN","10--14","89662"
"CN","2013","Mississippi",28,"state","Mississippi","MS","CN","15--18","56195"
"CN","2013","Mississippi",28,"state","Mississippi","MS","CN","19--20","11127"
"MN","2013","Mississippi",28,"state","Mississippi","MS","MN","< 1","0"
"MN","2013","Mississippi",28,"state","Mississippi","MS","MN","1--2","0"
"MN","2013","Mississippi",28,"state","Mississippi","MS","MN","3--5","0"
"MN","2013","Mississippi",28,"state","Mississippi","MS","MN","6--9","0"
"MN","2013","Mississippi",28,"state","Mississippi","MS","MN","10--14","0"
"MN","2013","Mississippi",28,"state","Mississippi","MS","MN","15--18","0"
"MN","2013","Mississippi",28,"state","Mississippi","MS","MN","19--20","0"
"Total","2013","Mississippi",28,"state","Mississippi","MS","Total","< 1","22829"
"Total","2013","Mississippi",28,"state","Mississippi","MS","Total","1--2","52564"
"Total","2013","Mississippi",28,"state","Mississippi","MS","Total","3--5","77450"
"Total","2013","Mississippi",28,"state","Mississippi","MS","Total","6--9","89415"
"Total","2013","Mississippi",28,"state","Mississippi","MS","Total","10--14","89662"
"Total","2013","Mississippi",28,"state","Mississippi","MS","Total","15--18","56195"
"Total","2013","Mississippi",28,"state","Mississippi","MS","Total","19--20","11127"
"CN","2013","Minnesota",27,"state","Minnesota","MN","CN","< 1","24313"
"CN","2013","Minnesota",27,"state","Minnesota","MN","CN","1--2","54654"
"CN","2013","Minnesota",27,"state","Minnesota","MN","CN","3--5","67511"
"CN","2013","Minnesota",27,"state","Minnesota","MN","CN","6--9","83471"
"CN","2013","Minnesota",27,"state","Minnesota","MN","CN","10--14","86186"
"CN","2013","Minnesota",27,"state","Minnesota","MN","CN","15--18","56261"
"CN","2013","Minnesota",27,"state","Minnesota","MN","CN","19--20","22797"
"MN","2013","Minnesota",27,"state","Minnesota","MN","MN","< 1","1248"
"MN","2013","Minnesota",27,"state","Minnesota","MN","MN","1--2","4536"
"MN","2013","Minnesota",27,"state","Minnesota","MN","MN","3--5","10912"
"MN","2013","Minnesota",27,"state","Minnesota","MN","MN","6--9","14011"
"MN","2013","Minnesota",27,"state","Minnesota","MN","MN","10--14","15928"
"MN","2013","Minnesota",27,"state","Minnesota","MN","MN","15--18","13437"
"MN","2013","Minnesota",27,"state","Minnesota","MN","MN","19--20","9082"
"Total","2013","Minnesota",27,"state","Minnesota","MN","Total","< 1","25561"
"Total","2013","Minnesota",27,"state","Minnesota","MN","Total","1--2","59190"
"Total","2013","Minnesota",27,"state","Minnesota","MN","Total","3--5","78423"
"Total","2013","Minnesota",27,"state","Minnesota","MN","Total","6--9","97482"
"Total","2013","Minnesota",27,"state","Minnesota","MN","Total","10--14","102114"
"Total","2013","Minnesota",27,"state","Minnesota","MN","Total","15--18","69698"
"Total","2013","Minnesota",27,"state","Minnesota","MN","Total","19--20","31879"
"CN","2013","Michigan",26,"state","Michigan","MI","CN","< 1","57141"
"CN","2013","Michigan",26,"state","Michigan","MI","CN","1--2","134392"
"CN","2013","Michigan",26,"state","Michigan","MI","CN","3--5","190770"
"CN","2013","Michigan",26,"state","Michigan","MI","CN","6--9","239514"
"CN","2013","Michigan",26,"state","Michigan","MI","CN","10--14","271963"
"CN","2013","Michigan",26,"state","Michigan","MI","CN","15--18","194508"
"CN","2013","Michigan",26,"state","Michigan","MI","CN","19--20","65163"
"MN","2013","Michigan",26,"state","Michigan","MI","MN","< 1","10"
"MN","2013","Michigan",26,"state","Michigan","MI","MN","1--2","22"
"MN","2013","Michigan",26,"state","Michigan","MI","MN","3--5","14"
"MN","2013","Michigan",26,"state","Michigan","MI","MN","6--9","18"
"MN","2013","Michigan",26,"state","Michigan","MI","MN","10--14","24"
"MN","2013","Michigan",26,"state","Michigan","MI","MN","15--18","44"
"MN","2013","Michigan",26,"state","Michigan","MI","MN","19--20","19440"
"Total","2013","Michigan",26,"state","Michigan","MI","Total","< 1","57151"
"Total","2013","Michigan",26,"state","Michigan","MI","Total","1--2","134414"
"Total","2013","Michigan",26,"state","Michigan","MI","Total","3--5","190784"
"Total","2013","Michigan",26,"state","Michigan","MI","Total","6--9","239532"
"Total","2013","Michigan",26,"state","Michigan","MI","Total","10--14","271987"
"Total","2013","Michigan",26,"state","Michigan","MI","Total","15--18","194552"
"Total","2013","Michigan",26,"state","Michigan","MI","Total","19--20","84603"
"CN","2013","Massachusetts",25,"state","Massachusetts","MA","CN","< 1","24629"
"CN","2013","Massachusetts",25,"state","Massachusetts","MA","CN","1--2","66730"
"CN","2013","Massachusetts",25,"state","Massachusetts","MA","CN","3--5","94353"
"CN","2013","Massachusetts",25,"state","Massachusetts","MA","CN","6--9","114652"
"CN","2013","Massachusetts",25,"state","Massachusetts","MA","CN","10--14","125384"
"CN","2013","Massachusetts",25,"state","Massachusetts","MA","CN","15--18","96440"
"CN","2013","Massachusetts",25,"state","Massachusetts","MA","CN","19--20","41835"
"MN","2013","Massachusetts",25,"state","Massachusetts","MA","MN","< 1","0"
"MN","2013","Massachusetts",25,"state","Massachusetts","MA","MN","1--2","0"
"MN","2013","Massachusetts",25,"state","Massachusetts","MA","MN","3--5","0"
"MN","2013","Massachusetts",25,"state","Massachusetts","MA","MN","6--9","0"
"MN","2013","Massachusetts",25,"state","Massachusetts","MA","MN","10--14","0"
"MN","2013","Massachusetts",25,"state","Massachusetts","MA","MN","15--18","0"
"MN","2013","Massachusetts",25,"state","Massachusetts","MA","MN","19--20","0"
"Total","2013","Massachusetts",25,"state","Massachusetts","MA","Total","< 1","24629"
"Total","2013","Massachusetts",25,"state","Massachusetts","MA","Total","1--2","66730"
"Total","2013","Massachusetts",25,"state","Massachusetts","MA","Total","3--5","94353"
"Total","2013","Massachusetts",25,"state","Massachusetts","MA","Total","6--9","114652"
"Total","2013","Massachusetts",25,"state","Massachusetts","MA","Total","10--14","125384"
"Total","2013","Massachusetts",25,"state","Massachusetts","MA","Total","15--18","96440"
"Total","2013","Massachusetts",25,"state","Massachusetts","MA","Total","19--20","41835"
